link,time
https://www.businessinsider.com/mark-zuckerberg-facebook-reputation-2018-9,2018-09-12T19:45:16Z
https://www.theguardian.com/games/2018/sep/25/forza-horizon-4-the-game-that-raced-to-the-heart-of-britain,2018-09-25T05:00:13Z
https://www.ft.com/content/c9cb71ac-c2b3-11e8-95b1-d36dfef1b89a,2018-09-28T03:00:28Z
https://www.wsj.com/articles/she-collects-marathons-between-deals-for-microsoft-1537190723,2018-09-17T13:25:26Z
https://www.businessinsider.com/oracle-head-of-cloud-kurian-butting-heads-larry-ellison-2018-9,2018-09-13T00:56:58Z
https://www.wsj.com/articles/intels-shortages-chip-away-at-micron-1537512343,2018-09-21T06:48:45Z
https://www.wsj.com/articles/amazons-new-microwave-alexa-please-defrost-my-chicken-1537469765,2018-09-20T19:04:38Z
https://www.wsj.com/articles/with-5g-on-the-horizon-startups-see-potential-in-small-data-hubs-1536804121,2018-09-13T03:18:37Z
https://www.theguardian.com/technology/2018/sep/26/silicon-valley-senate-commerce-committee-data-privacy-regulation,2018-09-26T23:33:05Z
https://www.bloomberg.com/news/articles/2018-09-17/china-calls-for-borderless-research-to-promote-ai-development,2018-09-17T16:39:27Z
https://www.ft.com/content/0bb54f10-b18a-11e8-8d14-6f049d06439c,2018-09-06T09:16:46Z
https://www.ft.com/content/3c01c814-b825-11e8-bbc3-ccd7de085ffe,2018-09-18T06:30:51Z
http://feedproxy.google.com/~r/avaxhome/bojL/~3/Od2XF63IMYo/beginning-microsoft-graph.html,2018-09-05T05:14:24Z
http://feedproxy.google.com/~r/avaxhome/bojL/~3/5_0Y6uFWBz8/naag30492.html,2018-09-06T01:21:21Z
https://www.economist.com/special-report/2018/03/31/ai-providers-will-increasingly-compete-with-management-consultancies,2018-09-26T10:01:58Z
https://www.cnbc.com/2018/09/12/23000-millennial-and-gen-z-workers-listed-their-dream-employers.html,2018-09-12T17:24:00Z
https://www.nytimes.com/2018/09/30/opinion/james-comey-fbi-kavanaugh-investigation.html?partner=msft_msn,2018-09-30T21:40:36Z
https://www.businessinsider.com/gitlab-valuation-microsoft-github-2018-9,2018-09-19T18:08:27Z
https://www.wsj.com/articles/your-browser-is-the-most-important-app-you-havemake-sure-you-use-the-right-one-1537707600,2018-09-23T13:04:05Z
https://www.economist.com/special-report/2018/03/28/there-will-be-little-privacy-in-the-workplace-of-the-future,2018-09-26T10:01:58Z
https://www.economist.com/special-report/2018/06/28/the-story-of-the-internet-is-all-about-layers,2018-09-26T10:01:58Z
https://www.ft.com/content/7dfc6a3a-b2a8-11e8-87e0-d84e0d934341,2018-09-26T23:32:00Z
https://www.bbc.co.uk/news/uk-45611563,2018-09-22T09:58:07Z
https://www.economist.com/international/2017/06/08/tech-giants-are-under-fire-for-facilitating-terrorism,2018-09-24T14:57:19Z
https://www.bloomberg.com/news/articles/2018-09-19/alphabet-backs-gitlab-s-quest-to-surpass-microsoft-s-github,2018-09-19T18:36:16Z
https://www.wsj.com/articles/indias-top-court-rules-massive-biometric-identity-database-legalwith-restrictions-1537949652,2018-09-26T08:15:58Z
https://www.ft.com/content/feb48a8e-b769-11e8-bbc3-ccd7de085ffe,2018-09-13T18:13:17Z
https://www.cnbc.com/2018/09/11/this-sector-outperforms-after-apples-annual-product-bonanzas.html,2018-09-11T19:51:00Z
https://www.wsj.com/articles/the-nfls-other-problem-fake-fans-lobbying-for-the-blackout-1536340410,2018-09-07T18:37:38Z
https://www.wsj.com/articles/how-hackers-talk-their-way-into-getting-company-secrets-1537322640,2018-09-19T03:01:10Z
https://www.wsj.com/articles/eu-executive-arm-opposes-france-on-global-right-to-be-forgotten-1536685575,2018-09-11T17:58:03Z
https://www.bloomberg.com/news/articles/2018-09-12/more-tech-groups-join-calls-to-give-consumers-power-over-data,2018-09-13T08:31:00Z
https://www.nytimes.com/2018/09/19/learning/are-awards-shows-worth-watching-anymore.html,2018-09-19T06:32:18Z
https://www.economist.com/special-report/2018/06/28/how-regulators-can-prevent-excessive-concentration-online,2018-09-26T10:01:58Z
https://money.cnn.com/2018/09/19/technology/amazon-digital-ads-google-facebook-microsoft-oath/index.html,2018-09-19T11:03:12Z
https://www.bbc.co.uk/news/business-45654791,2018-09-26T23:01:59Z
